id	qid1	qid2	question1	question2	is_duplicate
162000	69047	252280	Why does Australia oppose Philippines President’s anti-drug crime wars in Philippines, but help the U.S. bomb civilians in Syria and Middle East?	It's September 2013. Should President Obama & the U.S. intervene in Syria? Why or why not?	0
162001	252281	252282	What would happen if you injected thermal paste into your veins?	What will happen if I insert small pieces of glass in my veins?	0
162002	252283	252284	What are the example images of stars and other planetary bodies that we can view from amateur household telescopes?	How can I increase my concentration and brain sharpness?	0
162003	10590	29961	Should India go for another war with Pakistan?	Will India fight a war with Pakistan?	1
162004	252285	252286	What should I do if I think I have a virus on my iPhone?	Does my iPhone have a virus?	0
162005	252287	188351	What are the best help desk experiences?	What is the best help desk system?	0
162006	252288	252289	What are some circumstances when a compliance certificate is required?	The right to openly discuss wages with co-workers?	0
162007	252290	252291	Why doesn't Earth crash to the Sun thanks to gravitational pull?	If gravitational pull of the sun is very strong,why does the Earth keep its distance?	1
162008	126311	185894	What is the purpose for human living in the world?	What's our purpose of life in this world?	1
162009	16464	91346	How do I disable end call with the power/lock button featue on an iPhone?	Should I buy the iPhone 7, Galaxy S7, or Note 7?	0
162010	252292	252293	How do I copy the Linux directory?	How do you copy a folder in Linux?	1
162011	252294	252295	What does Igor Markov think of growth and the future of the Indian economy?	What is Igor Markov like in person?	0
162012	252296	252297	Is buffersales.com a genuine site?	Is Shoebacca.com a fake site?	0
162013	252298	5161	I told a girl in a relationship that I liked her and she says she never know what's going to happen to her relationship. What does that mean?	I told a girl who has a boyfriend that I liked her, and she says she doesn’t know what's going to happen to her relationship. What does that mean?	1
162014	61820	69793	What is the best business idea with surefire profits and less investment?	What are the best new business idea in india with less investment?	1
162015	252299	252300	Which app is safe and secure for money transfer?	Is there any app for money transfer which is safe & secure?	1
162016	64794	252301	What is best credit card?	Which credit card is best in INDIA?	0
162017	117611	11001	What are the worst stupidest questions asked on Quora?	What are the most annoying types of questions on Quora?	1
162018	252302	178101	When brushing my teeth, I leave the tap running and continue brushing. Can someone explain why I do this?	Should I drink water before brushing my teeth or after?	0
162019	252303	252304	How do I get rid of back pain?	How can I get rid of chronic and acute back pain?	0
162020	252305	252306	What is the 'for you ' button in Quora mean?	Is US billboard hot 100 better than UK's OCC?	0
162021	252307	252308	Where are shell type and core type transformer used? Why?	How do shell type transformers work?	0
162022	252309	67244	Why Arvind Kejriwal is in a hurry to get the evidence of surgical strikes on terrorists camps in Pakistan?	What is your view on Arvind Kejriwal recent statement concerning Indian surgical strike on Pakistan?	0
162023	146392	252310	What is the best home appliance for Panasonic air conditioner service center in Hyderabad?	Which is the best Panasonic air conditioner repair center in Hyderabad?	1
162024	140610	151812	How many dimensions does the universe really have?	How many dimensions are reported to be existing in our Universe?	1
162025	252311	620	Can I use a Jio SIM which I purchased it from showing bar-code on Samsung Galaxy J2 on my iPhone 5s (US model A1533) for voice & data ?	Can I use Jio SIM in iPhone 5s?	0
162026	252312	252313	What are some good affiliate marketing programs?	What are the best affiliate marketing programs for 2016?	0
162027	103882	252314	What is Elon Musk like in person?	How is Elon Musk in person?	1
162028	11220	162274	What do I use to clean my crystal meth?	How do you clean meth?	1
162029	252315	186060	Which stocks should I invest in BSE for maximum long term returns?	Which company should I invest in BSE/NSE for maximum long term returns?	0
162030	152779	252316	What should I do if I am going to start a coding club in my college?	What should I do if want to start a coding club in my college?	1
162031	252317	252318	What does the word yoga mean in Sanskrit?	What is the most poetic Sanskrit word?	0
162032	252319	252320	What will it take to keep the ISS hardware in orbit, past its operational life?	Would an ion thruster providing constant force on the ISS be more economical than conventional thrusters to keep it in orbit?	0
162033	252321	252322	If All South Asian Countries Unite, Could They Wipe Out India From The World’s Map?	Are the rich first world countries in the West doing enough to compensate for the pollution they caused, which lead to the global warming that is now threatening to wipe the smaller poorer countries with low land from the map?	0
162034	146796	13124	What's the best way to make new friends after college?	How do you make friends post-college?	1
162035	252323	252324	How can density and volume be calculate?	How can you calculate volume and density?	1
162036	252325	252326	Should I buy Ride for PS4?	Should I buy the game 'No Man's Sky' for PS4 or PC?	0
162037	252327	252328	How do I stop being disorganised, unreliable and start caring about things and performing?	How do I stop caring about my weight?	0
162038	252329	252330	What are some good side dishes to have with a BLT?	How do you cook a good salmon with rice as a side dish?	0
162039	3118	95333	How will Donald Trump benefit India?	What will be the impact of election of Donald Trump as the 45th US president, on India?	1
162040	252331	160089	What does gravity look like?	What is gravity?	0
162041	153170	252332	How do I make my blog popular?	How can I make my blog popular?	1
162042	252333	252334	What does it mean when you have your menstrual cycle for two weeks?	What does it mean when you have two menstrual cycles within two weeks?	0
162043	252335	252336	How long did the pyramids of Egypt keep the white colour of the limestone?	Is it true that the pyramids of Egypt were built by Jewish slaves?	0
162044	252337	218800	How do you write short stories?	How can I write a very short story?	1
162045	39723	192580	What are some tips on making it through the job interview process at Capital Bank?	What are some tips on making it through the job interview process at Independent Bank?	0
162046	252338	252339	Internal angle of synchronous motor?	Can depression and ocd go on their own?	0
162047	252340	252341	They say too much knowledge is dangerous. When and why is this the case?	Is life too long in some cases?	0
162048	1717	93519	What can I do to improve my question on Quora?	What is the best way to improve my questions on Quora?	1
162049	157338	162286	How can you find out who is calling you from an unlisted number?	How can you find out who is calling you from a private number?	1
162050	252342	252343	Which is the most liked picture in facebook?	Is there a way to find the most liked picture on Facebook? If so, what is the most liked picture?	1
162051	252344	252345	What is the difference between sister chromatids and non sister chromatids?	What are chromatids and how do they work?	0
162052	218549	100101	Is the iPhone really more expensive? Why or why not?	Why is the iPhone 6 so expensive?	1
162053	252346	252347	Why is Islam called the religion of peace? Why does so much violence revolve around its believers?	Do Muslims in Albania eat pork or not?	0
162054	252348	252349	Why is Charlestown, County Armagh so important? What has been its main contribution to the local community?	Is dell vostro 3558 better as compared to dell inspiron 3558 core i3 5th gen?	0
162055	47372	160398	Where can I take a free online IQ and personality test?	Where can I take an IQ test on the internet for free?	1
162056	252350	252351	Is there a movie based on the Indus valley civilization?	"Are Indus Valley civilization and ""Aryan"" civilization different names of the same civilization?"	0
162057	252352	252353	How do you update the Instagram Location targeting?	How can I find Instagram users by location?	0
162058	252354	252355	Which is your favourite Bhagvad Gita sloka and why?	Which sloka of the Bhagvad Gita do you like the most? How do you apply that to your life?	1
162059	252356	251240	What source is best to learn German?	What are some of the best resources to learn German?	1
162060	252357	252358	How do you play disc golf competitively?	What are some tips for playing disc golf?	0
162061	38764	166169	I have to give a small 1-minute speech on any topic. What are suggestions for a topic to choose?	What is the best topic to choose for a speech competition?	0
