id	qid1	qid2	question1	question2	is_duplicate
104000	171778	171779	What Will Happen in Season 4 of Game of Thrones?	What will happen in the sixth season of Game of Thrones?	0
104001	171780	82431	Is black or white the absence of color?	How do you mix food coloring to make black?	0
104002	171781	171782	If 5 dice are rolled, what is the probability of a sum of 10?	What is the probability of having a sum of 10 after rolling 3 dice?	0
104003	171783	171784	Is it true that Salman khan does 1000 push ups per day? How many pushups are humanely possible?	What results can I expect from 300 push ups a day?	0
104004	171785	171786	What is the relation between culture and civilization?	What is the relation between the culture and morality?	0
104005	171787	171788	What hands does a straight beat in poker? What beats a straight?	What is the order of winning hands in poker?	0
104006	171789	171790	What are residuary taxes (India)?	What are the taxes in india?	0
104007	171791	171792	How do I frame a timetable for the UPSC examinations 2016?	How important is handwriting in UPSC written exams?	0
104008	171793	171794	How did internet existed?	How did the Internet come into existence?	1
104009	171795	92365	Which is the best mobile under 15000	Which mobile I should buy under 15k?	1
104010	171796	171797	With the terrorist attack in Uri, is going to war with Pakistan is the only option left with India ?	How should India respond to Pakistan regarding the recent attack in Uri?	1
104011	171798	171799	Do Apple employees get a 25% discount on the iPhone 6?	What kind of discounts for Apple products, if any, do Google employees get? Are these available for interns as well?	0
104012	171800	171801	What privileges of office are ex-Presidents of the United States entitled to when they leave office?	What would be the proper way to address a woman who was elected to the office of President of the United States?	0
104013	171802	171803	Is there a natural treatment for bipolar disorder?	Can bipolar disorder be cured?	0
104014	171804	171805	I completed my btech (mech) not interested to work. Am interested to start business but not getting ideas?	Why aren't there any Indian startups in the Air-Purifier segment?	0
104015	110353	109131	Is a non nicotine vape with just flavourings bad for you?	Is vaping without nicotine bad for you?	1
104016	13225	7485	Do some white girls like Indian guys?	How likely is it for a white girl to date an Indian guy?	0
104017	32595	171806	How competitive is the hiring process at AT&T?	How competitive is the hiring process at T-Mobile?	0
104018	171807	171808	How do I create a social network list in Netlogo?	How do I create a social network in Netlogo?	0
104019	117142	72434	What are the best new products in technology that people don't know about?	What are some mind blowing accessories that exist in 2016 that most people don't know about?	1
104020	171809	171810	"Which of the taglines below sounds better: ""Handcrafted cakes from local bakers"" or ""Handcrafted cakes delivered by your local bakers""?"	"Which of the taglines below is grammatically correct: ""Handcrafted cakes from local bakers"" or ""Handcrafted cakes delivered by your local bakers""?"	1
